CodigoNacional;momento;HR_Valor
200006;01-01-2021 00:00:00;66.0
200006;01-01-2021 01:00:00;67.0
200006;01-01-2021 02:00:00;61.0
200006;01-01-2021 03:00:00;61.0
200006;01-01-2021 04:00:00;62.0
200006;01-01-2021 05:00:00;60.0
200006;01-01-2021 06:00:00;61.0
200006;01-01-2021 07:00:00;63.0
200006;01-01-2021 08:00:00;68.0
200006;01-01-2021 09:00:00;61.0
200006;01-01-2021 10:00:00;65.0
200006;01-01-2021 11:00:00;68.0
200006;01-01-2021 12:00:00;59.0
200006;01-01-2021 13:00:00;65.0
200006;01-01-2021 14:00:00;58.0
200006;01-01-2021 15:00:00;53.0
200006;01-01-2021 16:00:00;55.0
200006;01-01-2021 17:00:00;57.0
200006;01-01-2021 18:00:00;51.0
200006;01-01-2021 19:00:00;58.0
200006;01-01-2021 20:00:00;59.0
200006;01-01-2021 21:00:00;65.0
200006;01-01-2021 22:00:00;68.0
200006;01-01-2021 23:00:00;74.0
200006;02-01-2021 00:00:00;77.0
200006;02-01-2021 01:00:00;77.0
200006;02-01-2021 02:00:00;78.0
200006;02-01-2021 03:00:00;75.0
200006;02-01-2021 04:00:00;72.0
200006;02-01-2021 05:00:00;72.0
200006;02-01-2021 06:00:00;73.0
200006;02-01-2021 07:00:00;75.0
200006;02-01-2021 08:00:00;73.0
200006;02-01-2021 09:00:00;74.0
200006;02-01-2021 10:00:00;74.0
200006;02-01-2021 11:00:00;72.0
200006;02-01-2021 12:00:00;68.0
200006;02-01-2021 13:00:00;67.0
200006;02-01-2021 14:00:00;66.0
200006;02-01-2021 15:00:00;70.0
200006;02-01-2021 16:00:00;68.0
200006;02-01-2021 17:00:00;66.0
200006;02-01-2021 18:00:00;67.0
200006;02-01-2021 19:00:00;70.0
200006;02-01-2021 20:00:00;71.0
200006;02-01-2021 21:00:00;72.0
200006;02-01-2021 22:00:00;71.0
200006;02-01-2021 23:00:00;71.0
200006;03-01-2021 00:00:00;71.0
200006;03-01-2021 01:00:00;70.0
200006;03-01-2021 02:00:00;76.0
200006;03-01-2021 03:00:00;75.0
200006;03-01-2021 04:00:00;78.0
200006;03-01-2021 05:00:00;79.0
200006;03-01-2021 06:00:00;80.0
200006;03-01-2021 07:00:00;76.0
200006;03-01-2021 08:00:00;78.0
200006;03-01-2021 09:00:00;76.0
200006;03-01-2021 10:00:00;73.0
200006;03-01-2021 11:00:00;75.0
200006;03-01-2021 12:00:00;66.0
200006;03-01-2021 13:00:00;67.0
200006;03-01-2021 14:00:00;63.0
200006;03-01-2021 15:00:00;58.0
200006;03-01-2021 16:00:00;55.0
200006;03-01-2021 17:00:00;55.0
200006;03-01-2021 18:00:00;54.0
200006;03-01-2021 19:00:00;54.0
200006;03-01-2021 20:00:00;57.0
200006;03-01-2021 21:00:00;56.0
200006;03-01-2021 22:00:00;66.0
200006;03-01-2021 23:00:00;70.0
200006;04-01-2021 00:00:00;68.0
200006;04-01-2021 01:00:00;73.0
200006;04-01-2021 02:00:00;74.0
200006;04-01-2021 03:00:00;70.0
200006;04-01-2021 04:00:00;66.0
200006;04-01-2021 05:00:00;66.0
200006;04-01-2021 06:00:00;64.0
200006;04-01-2021 07:00:00;60.0
200006;04-01-2021 08:00:00;59.0
200006;04-01-2021 09:00:00;62.0
200006;04-01-2021 10:00:00;62.0
200006;04-01-2021 11:00:00;56.0
200006;04-01-2021 12:00:00;51.0
200006;04-01-2021 13:00:00;49.0
200006;04-01-2021 14:00:00;50.0
200006;04-01-2021 15:00:00;52.0
200006;04-01-2021 16:00:00;52.0
200006;04-01-2021 17:00:00;47.0
200006;04-01-2021 18:00:00;50.0
200006;04-01-2021 19:00:00;50.0
200006;04-01-2021 20:00:00;55.0
200006;04-01-2021 21:00:00;56.0
200006;04-01-2021 22:00:00;58.0
200006;04-01-2021 23:00:00;64.0
200006;05-01-2021 00:00:00;61.0
200006;05-01-2021 01:00:00;60.0
200006;05-01-2021 02:00:00;61.0
200006;05-01-2021 03:00:00;61.0
200006;05-01-2021 04:00:00;63.0
200006;05-01-2021 05:00:00;66.0
200006;05-01-2021 06:00:00;62.0
200006;05-01-2021 07:00:00;66.0
200006;05-01-2021 08:00:00;62.0
200006;05-01-2021 09:00:00;63.0
200006;05-01-2021 10:00:00;66.0
200006;05-01-2021 11:00:00;64.0
200006;05-01-2021 12:00:00;55.0
200006;05-01-2021 13:00:00;51.0
200006;05-01-2021 14:00:00;54.0
200006;05-01-2021 15:00:00;53.0
200006;05-01-2021 16:00:00;52.0
200006;05-01-2021 17:00:00;49.0
200006;05-01-2021 18:00:00;52.0
200006;05-01-2021 19:00:00;49.0
200006;05-01-2021 20:00:00;57.0
200006;05-01-2021 21:00:00;58.0
200006;05-01-2021 22:00:00;63.0
200006;05-01-2021 23:00:00;67.0
200006;06-01-2021 00:00:00;77.0
200006;06-01-2021 01:00:00;70.0
200006;06-01-2021 02:00:00;70.0
200006;06-01-2021 03:00:00;65.0
200006;06-01-2021 04:00:00;71.0
200006;06-01-2021 05:00:00;72.0
200006;06-01-2021 06:00:00;70.0
200006;06-01-2021 07:00:00;69.0
200006;06-01-2021 08:00:00;65.0
200006;06-01-2021 09:00:00;61.0
200006;06-01-2021 10:00:00;64.0
200006;06-01-2021 11:00:00;63.0
200006;06-01-2021 12:00:00;54.0
200006;06-01-2021 13:00:00;53.0
200006;06-01-2021 14:00:00;53.0
200006;06-01-2021 15:00:00;54.0
200006;06-01-2021 16:00:00;55.0
200006;06-01-2021 17:00:00;56.0
200006;06-01-2021 18:00:00;59.0
200006;06-01-2021 19:00:00;61.0
200006;06-01-2021 20:00:00;63.0
200006;06-01-2021 21:00:00;62.0
200006;06-01-2021 22:00:00;65.0
200006;06-01-2021 23:00:00;65.0
200006;07-01-2021 00:00:00;67.0
200006;07-01-2021 01:00:00;63.0
200006;07-01-2021 02:00:00;61.0
200006;07-01-2021 03:00:00;61.0
200006;07-01-2021 04:00:00;66.0
200006;07-01-2021 05:00:00;64.0
200006;07-01-2021 06:00:00;76.0
200006;07-01-2021 07:00:00;68.0
200006;07-01-2021 08:00:00;69.0
200006;07-01-2021 09:00:00;70.0
200006;07-01-2021 10:00:00;71.0
200006;07-01-2021 11:00:00;69.0
200006;07-01-2021 12:00:00;64.0
200006;07-01-2021 13:00:00;63.0
200006;07-01-2021 14:00:00;59.0
200006;07-01-2021 15:00:00;55.0
200006;07-01-2021 16:00:00;56.0
200006;07-01-2021 17:00:00;53.0
200006;07-01-2021 18:00:00;50.0
200006;07-01-2021 19:00:00;52.0
200006;07-01-2021 20:00:00;55.0
200006;07-01-2021 21:00:00;65.0
200006;07-01-2021 22:00:00;58.0
200006;07-01-2021 23:00:00;61.0
200006;08-01-2021 00:00:00;63.0
200006;08-01-2021 01:00:00;64.0
200006;08-01-2021 02:00:00;63.0
200006;08-01-2021 03:00:00;64.0
200006;08-01-2021 04:00:00;75.0
200006;08-01-2021 05:00:00;74.0
200006;08-01-2021 06:00:00;67.0
200006;08-01-2021 07:00:00;67.0
200006;08-01-2021 08:00:00;70.0
200006;08-01-2021 09:00:00;74.0
200006;08-01-2021 10:00:00;74.0
200006;08-01-2021 11:00:00;72.0
200006;08-01-2021 12:00:00;67.0
200006;08-01-2021 13:00:00;61.0
200006;08-01-2021 14:00:00;56.0
200006;08-01-2021 15:00:00;55.0
200006;08-01-2021 16:00:00;54.0
200006;08-01-2021 17:00:00;51.0
200006;08-01-2021 18:00:00;56.0
200006;08-01-2021 19:00:00;59.0
200006;08-01-2021 20:00:00;58.0
200006;08-01-2021 21:00:00;56.0
200006;08-01-2021 22:00:00;59.0
200006;08-01-2021 23:00:00;61.0
200006;09-01-2021 00:00:00;62.0
200006;09-01-2021 01:00:00;61.0
200006;09-01-2021 02:00:00;60.0
200006;09-01-2021 03:00:00;69.0
200006;09-01-2021 04:00:00;71.0
200006;09-01-2021 05:00:00;67.0
200006;09-01-2021 06:00:00;66.0
200006;09-01-2021 07:00:00;66.0
200006;09-01-2021 08:00:00;69.0
200006;09-01-2021 09:00:00;70.0
200006;09-01-2021 10:00:00;71.0
200006;09-01-2021 11:00:00;70.0
200006;09-01-2021 12:00:00;63.0
200006;09-01-2021 13:00:00;61.0
200006;09-01-2021 14:00:00;57.0
200006;09-01-2021 15:00:00;54.0
200006;09-01-2021 16:00:00;55.0
200006;09-01-2021 17:00:00;55.0
200006;09-01-2021 18:00:00;58.0
200006;09-01-2021 19:00:00;57.0
200006;09-01-2021 20:00:00;57.0
200006;09-01-2021 21:00:00;56.0
200006;09-01-2021 22:00:00;59.0
200006;09-01-2021 23:00:00;59.0
200006;10-01-2021 00:00:00;62.0
200006;10-01-2021 01:00:00;66.0
200006;10-01-2021 02:00:00;64.0
200006;10-01-2021 03:00:00;63.0
200006;10-01-2021 04:00:00;64.0
200006;10-01-2021 05:00:00;66.0
200006;10-01-2021 06:00:00;65.0
200006;10-01-2021 07:00:00;67.0
200006;10-01-2021 08:00:00;68.0
200006;10-01-2021 09:00:00;67.0
200006;10-01-2021 10:00:00;68.0
200006;10-01-2021 11:00:00;70.0
200006;10-01-2021 12:00:00;62.0
200006;10-01-2021 13:00:00;59.0
200006;10-01-2021 14:00:00;55.0
200006;10-01-2021 15:00:00;55.0
200006;10-01-2021 16:00:00;55.0
200006;10-01-2021 17:00:00;55.0
200006;10-01-2021 18:00:00;56.0
200006;10-01-2021 19:00:00;55.0
200006;10-01-2021 20:00:00;57.0
200006;10-01-2021 21:00:00;55.0
200006;10-01-2021 22:00:00;55.0
200006;10-01-2021 23:00:00;58.0
200006;11-01-2021 00:00:00;62.0
200006;11-01-2021 01:00:00;65.0
200006;11-01-2021 02:00:00;62.0
