"ID","REMOTE_ID","AMBIENT_TEMPERATURE","AIR_PRESSURE","HUMIDITY","CREATED"
"1",NULL,"25.71","1008.41","42.63","2021-04-10 21:39:30"
"2",NULL,"25.71","1008.46","42.63","2021-04-10 21:39:30"
"3",NULL,"25.71","1008.36","42.64","2021-04-10 21:39:30"
"4",NULL,"25.70","1008.37","42.65","2021-04-10 21:39:30"
"5",NULL,"25.71","1008.39","42.64","2021-04-10 21:39:30"
"6",NULL,"25.71","1008.35","42.65","2021-04-10 21:39:30"
"7",NULL,"25.71","1008.36","42.65","2021-04-10 21:39:30"
"8",NULL,"25.71","1008.42","42.65","2021-04-10 21:39:30"
"9",NULL,"25.71","1008.38","42.67","2021-04-10 21:39:30"
"10",NULL,"25.73","1008.41","42.68","2021-04-10 21:39:30"
"11",NULL,"25.72","1008.45","42.68","2021-04-10 21:39:30"
"12",NULL,"25.72","1008.34","42.68","2021-04-10 21:39:30"
"13",NULL,"25.72","1008.45","42.65","2021-04-10 21:39:30"
"14",NULL,"25.71","1008.39","42.66","2021-04-10 21:39:30"
"15",NULL,"25.71","1008.36","42.64","2021-04-10 21:39:30"
"16",NULL,"25.71","1008.41","42.63","2021-04-10 21:39:30"
"17",NULL,"25.71","1008.47","42.62","2021-04-10 21:39:30"
"18",NULL,"25.72","1008.37","42.62","2021-04-10 21:39:30"
"19",NULL,"25.71","1008.42","42.62","2021-04-10 21:39:30"
"20",NULL,"25.70","1008.40","42.63","2021-04-10 21:39:30"
"21",NULL,"25.72","1008.42","42.60","2021-04-10 21:39:30"
"22",NULL,"25.71","1008.39","42.65","2021-04-10 21:39:30"
"23",NULL,"25.72","1008.40","42.67","2021-04-10 21:39:30"
"24",NULL,"25.72","1008.37","42.67","2021-04-10 21:39:30"
"25",NULL,"25.72","1008.38","42.70","2021-04-10 21:39:30"
"26",NULL,"25.72","1008.43","42.70","2021-04-10 21:39:30"
"27",NULL,"25.72","1008.43","42.75","2021-04-10 21:39:30"
"28",NULL,"25.71","1008.35","42.75","2021-04-10 21:39:30"
"29",NULL,"25.71","1008.43","42.73","2021-04-10 21:39:30"
"30",NULL,"25.70","1008.42","42.73","2021-04-10 21:39:30"
"31",NULL,"25.71","1008.42","42.92","2021-04-10 21:39:30"
"32",NULL,"25.70","1008.40","42.92","2021-04-10 21:39:30"
"33",NULL,"25.87","1008.42","43.20","2021-04-10 22:05:59"
"34",NULL,"25.87","1008.45","43.23","2021-04-10 22:07:13"
"35",NULL,"25.86","1008.43","43.25","2021-04-10 22:07:13"
"36",NULL,"25.86","1008.41","43.27","2021-04-10 22:07:13"
"37",NULL,"25.86","1008.45","43.26","2021-04-10 22:07:13"
"38",NULL,"25.87","1008.39","43.23","2021-04-10 22:07:13"
"39",NULL,"25.86","1008.45","43.23","2021-04-10 22:07:13"
"40",NULL,"25.87","1008.42","43.28","2021-04-10 22:07:13"
"41",NULL,"25.87","1008.44","43.30","2021-04-10 22:07:13"
"42",NULL,"25.87","1008.44","43.31","2021-04-10 22:07:13"
"43",NULL,"25.86","1008.46","43.34","2021-04-10 22:07:13"
"44",NULL,"25.86","1008.43","43.31","2021-04-10 22:07:13"
"45",NULL,"25.86","1008.51","43.31","2021-04-10 22:07:13"
"46",NULL,"25.86","1008.48","43.34","2021-04-10 22:07:13"
"47",NULL,"25.86","1008.46","43.34","2021-04-10 22:07:13"
"48",NULL,"25.86","1008.45","43.34","2021-04-10 22:07:13"
"49",NULL,"25.85","1008.50","43.30","2021-04-10 22:07:13"
"50",NULL,"25.86","1008.48","43.32","2021-04-10 22:07:13"
"51",NULL,"25.86","1008.40","43.35","2021-04-10 22:07:13"
"52",NULL,"25.86","1008.43","43.35","2021-04-10 22:07:13"
"53",NULL,"25.86","1008.45","43.38","2021-04-10 22:07:13"
"54",NULL,"25.84","1008.54","43.35","2021-04-10 22:07:13"
"55",NULL,"25.85","1008.47","43.37","2021-04-10 22:07:13"
"56",NULL,"25.86","1008.43","43.39","2021-04-10 22:07:13"
"57",NULL,"25.84","1008.46","43.43","2021-04-10 22:07:13"
"58",NULL,"25.85","1008.38","43.38","2021-04-10 22:07:13"
"59",NULL,"25.84","1008.46","43.40","2021-04-10 22:07:13"
"60",NULL,"25.85","1008.46","43.38","2021-04-10 22:07:13"
"61",NULL,"25.84","1008.48","43.43","2021-04-10 22:07:13"
"62",NULL,"25.84","1008.48","43.40","2021-04-10 22:07:13"
"63",NULL,"25.85","1008.44","43.38","2021-04-10 22:07:13"
"64",NULL,"25.84","1008.53","43.39","2021-04-10 22:07:13"
"65",NULL,"25.83","1008.44","43.39","2021-04-10 22:07:13"
"66",NULL,"25.83","1008.47","43.42","2021-04-10 22:07:13"
"67",NULL,"25.83","1008.49","43.43","2021-04-10 22:07:13"
"68",NULL,"25.82","1008.50","43.45","2021-04-10 22:07:13"
"69",NULL,"25.84","1008.48","45.06","2021-04-10 22:07:13"
"70",NULL,"25.83","1008.52","44.87","2021-04-10 22:07:13"
"71",NULL,"25.85","1008.50","43.57","2021-04-10 22:11:15"
"72",NULL,"25.85","1008.46","43.61","2021-04-10 22:11:15"
"73",NULL,"25.85","1008.55","43.54","2021-04-10 22:11:15"
"74",NULL,"25.85","1008.53","43.51","2021-04-10 22:11:15"
"75",NULL,"25.85","1008.49","43.51","2021-04-10 22:11:15"
"76",NULL,"25.85","1008.49","43.50","2021-04-10 22:11:15"
"77","11","25.88","1008.58","43.44","2021-04-10 22:17:18"
"78","11","25.89","1008.56","43.47","2021-04-10 22:17:18"
"79","11","25.88","1008.52","43.52","2021-04-10 22:17:18"
"80","11","25.88","1008.55","43.50","2021-04-10 22:17:18"
"81","11","25.88","1008.52","43.46","2021-04-10 22:17:18"
